Names,Time Spent on Site, Salary ,Clicked
Martina Avila,25.64964796," $55,330.06 ",0
Harlan Barnes,32.4561067," $79,049.08 ",1
Naomi Rodriquez,20.9459779," $41,098.61 ",0
Jade Cunningham,54.03932483," $37,143.36 ",1
Cedric Leach,34.24972885," $37,355.11 ",0
Carla Hester,52.009946," $80,642.65 ",1
Griffin Rivera,42.88136962," $61,908.40 ",1
Orli Casey,25.67691961," $29,851.41 ",0
Marny Obrien,40.69823258," $34,281.12 ",1
Rhonda Chavez,29.68736186," $41,098.88 ",0
Jerome Rowe,33.27257201," $54,127.02 ",0
Akeem Gibson,34.53089789," $30,221.94 ",0
Quin Smith,25.31369521," $43,764.00 ",0
Tatum Moon,46.54070821," $48,663.49 ",1
Sharon Sharpe,37.71658186," $64,695.98 ",1
Thomas Williams,25.05678222," $17,759.93 ",0
Blaine Bender,41.09596023," $49,463.38 ",1
Stephen Lindsey,24.76156334," $38,484.42 ",0
Sloane Mann,48.87017547," $34,774.44 ",1
Athena Wolf,27.83383193," $51,644.49 ",0
Blythe Romero,17.10357571," $61,661.77 ",0
Zelenia Byers,25.59779568," $53,630.76 ",0
Nola Wiggins,42.24918966," $32,215.10 ",1
Micah Wheeler,37.13592176," $51,733.66 ",1
Caryn Hendrix,32.44311107," $51,677.70 ",0
Hedda Miranda,19.93667384," $34,263.79 ",0
Ulric Lynn,39.82053932," $70,503.31 ",1
Alma Pope,30.728855," $67,022.27 ",1
Gemma Hendrix,24.04358267," $36,474.71 ",1
Castor Wood,39.05603564," $29,178.36 ",0
Herman Stevenson,31.24695278," $76,064.38 ",1
Adrienne Bolton,36.05739686," $65,202.91 ",1
Dahlia Cleveland,19.91097364," $32,894.52 ",0
Keane Browning,22.45597721," $47,770.07 ",0
Quon Hull,36.76571584," $53,464.43 ",0
Coby Charles,35.9575676," $23,683.31 ",0
Amery Cortez,41.98992623," $54,726.99 ",1
Uriel Bradshaw,34.54167504," $78,156.46 ",1
Fredericka Sanders,24.8281717," $43,126.92 ",0
Christopher Stevens,38.59167327," $54,524.27 ",1
Rachel Ashley,30.51549302," $12,066.02 ",0
Lael Wright,28.94486995," $29,899.47 ",0
Ryder Shaffer,40.98396284," $45,591.45 ",1
Eric Noel,27.6038406," $32,242.32 ",0
Tamara Guy,19.08930322," $39,279.89 ",0
Quincy Bell,18.88158576," $52,519.00 ",0
Lee Taylor,20.7144638," $33,993.05 ",1
Kenneth Pope,27.40380951," $48,026.02 ",0
Reese Vance,39.0490584," $73,516.58 ",1
Quon Carroll,36.29675049," $29,354.82 ",1
Magee Davidson,38.80675882," $61,298.92 ",1
Leilani Gross,26.24438241," $61,347.17 ",0
Morgan William,20.77689122," $25,642.64 ",0
Francesca Cervantes,26.00979988," $36,948.35 ",0
Rafael Peterson,60," $76,499.12 ",1
Roanna Knox,27.43202822," $40,814.48 ",0
Marny Vargas,26.38762215," $37,080.28 ",0
Charlotte Waller,47.0705902," $80,709.84 ",1
Dorian Hernandez,41.80763973," $79,523.57 ",1
Armando Hensley,36.80881022," $81,282.41 ",1
Rowan Kidd,29.84320393," $100,000.00 ",1
Gwendolyn Rice,41.96283572," $63,479.26 ",1
Gareth Morris,42.90845702," $55,896.75 ",1
Sawyer Carney,31.51837345," $35,277.26 ",0
Raya Shields,44.44928606," $78,039.79 ",1
Olga Serrano,38.65205041," $57,793.43 ",1
Yuli Craig,29.8597461," $49,464.23 ",0
Lev Kramer,31.8710838," $56,862.72 ",1
Nissim Acosta,35.12430594," $71,480.48 ",1
Miranda Berry,43.62297928," $43,938.78 ",0
Owen Jacobson,27.80474308," $38,651.13 ",0
Marvin Becker,41.45757766," $75,923.25 ",1
Davis Scott,26.41024062," $55,388.71 ",0
Matthew Colon,24.70853208," $58,164.60 ",0
Quinlan Harris,38.24196295," $52,840.91 ",0
Hedley Greene,53.07390737," $65,344.84 ",1
Orson Kirby,38.16548743," $28,728.32 ",0
Adria Mathis,26.4081753," $28,349.21 ",0
